uid,name,neighbours
1,AIIMS,29|52
2,Adarsh Nagar,67|8
3,Akshardham,110|222
4,Anand Vihar,85|89
5,Arjan Garh,47|53
6,Arthala,114|58
7,Ashok Park Main,158|63
8,Azadpur,101|112|189|2
9,Badarpur Border,178|211
10,Badkal Mor,146|182
11,Bahadurgarh City,149|15
12,Barakhamba Road,104|166
13,Bhikaji Cama Place,181|198
14,Botanical Garden,137|143|49
15,Brigadier Hoshiyar Singh,11|92
16,Central Secretariat,152|212|73|91
17,Chandni Chowk,18|88
18,Chawri Bazar,132|17
19,Chhatarpur,160|202
20,Chirag Delhi,148|51
21,Civil Lines,218|88
22,Dabri Mor - Janakpuri South,23|71
23,Dashrath Puri,147|22
24,Delhi Aerocity,28|64
25,Delhi Cantonment,125|31
26,Delhi Gate,62|68
27,Dhansa Bus Stand,121
28,Dhaula Kuan,195|24
29,Dilli Haat - INA,1|80
30,Dilshad Garden,186|78
31,Durgabai Deshmukh South Campus,198|25
32,Dwarka,122|33|38
33,Dwarka Mor,126|32
34,Dwarka Sector 10,35|41
35,Dwarka Sector 11,34|36
36,Dwarka Sector 12,35|37
37,Dwarka Sector 13,36|38
38,Dwarka Sector 14,32|37
39,Dwarka Sector 21,223|40|64
40,Dwarka Sector 8,39|41
41,Dwarka Sector 9,34|40
42,ESI - Basaidarapur,159|167
43,East Azad Nagar,221|94
44,East Vinod Nagar - Mayur Vihar-II,210|61
45,GTB Nagar,112|220
46,Ghevra,118|207
47,Ghitorni,202|5
48,Gokulpuri,106|79
49,Golf Course,133|14
50,Govindpuri,144|83
51,Greater Kailash,128|20
52,Green Park,1|57
53,Guru Dronacharya,197|5
54,HUDA City Centre,59
55,Haiderpur Badli Mor,172|67
56,Harkesh Nagar Okhla,144|74
57,Hauz Khas,103|148|52|60
58,Hindon River,187|6
59,IFFCO Chowk,54|98
60,IIT Delhi,161|57
61,IP Extension,44
62,ITO,104|26
63,Inderlok,191|7|84
64,Indira Gandhi International Airport,24|39
65,Indraprastha,203|222
66,Jaffrabad,106|221
67,Jahangirpuri,2|55
68,Jama Masjid,26|96
69,Jamia Millia Islamia,145|201
70,Janakpuri East,208|71
71,Janakpuri West,214|22|70
72,Jangpura,76|95
73,Janpath,104|16
74,Jasola Apollo,180|56
75,Jasola Vihar Shaheen Bagh,145|82
76,Jawaharlal Nehru Stadium,72|91
77,Jhandewalan,168|87
78,Jhilmil,105|30
79,Johri Enclave,193|48
80,Jor Bagh,29|97
81,Kailash Colony,115|129
82,Kalindi Kunj,143|75
83,Kalkaji Mandir,128|129|144|50
84,Kanhaiya Nagar,63|90
85,Karkarduma,4|86|226
86,Karkarduma Court,85|94
87,Karol Bagh,165|77
88,Kashmere Gate,17|192|209|21|96
89,Kaushambi,4|216
90,Keshav Puram,130|84
91,Khan Market,16|76
92,Kirti Nagar,116|15|184
93,Kohat Enclave,130|155
94,Krishna Nagar,43|86
95,Lajpat Nagar,115|148|219|72
96,Lal Qila,68|88
97,Lok Kalyan Marg,212|80
98,MG Road,197|59
99,Madipur,150|194
100,Maharaja Surajmal Stadium,123|213
101,Majlis Park,8
102,Major Mohit Sharma Rajendra Nagar,162|196
103,Malviya Nagar,175|57
104,Mandi House,12|203|62|73
105,Mansarovar Park,185|78
106,Maujpur - Babarpur,48|66
107,Mayapuri,125|167
108,Mayur Vihar Extension,110|131
109,Mayur Vihar Pocket I,110|210
110,Mayur Vihar-I,108|109|179|3
111,Mewla Maharajpur,120|182
112,Model Town,45|8
113,Mohan Estate,180|211
114,Mohan Nagar,196|6
115,Moolchand,81|95
116,Moti Nagar,169|92
117,Mundka,118|164
118,Mundka Industrial Area,117|46
119,Munirka,161|217
120,NHPC Chowk,111|178
121,Najafgarh,122|27
122,Nangli,121|32
123,Nangloi,100|124
124,Nangloi Railway Station,123|164
125,Naraina Vihar,107|25
126,Nawada,215|33
127,Neelam Chowk Ajronda,146|177
128,Nehru Enclave,51|83
129,Nehru Place,81|83
130,Netaji Subhash Place,188|189|90|93
